year,description,event_type,participants,significance
1994,"On June 13, 1994,Don Mattinglyplayed in his one-thousand four-hundred sixty-ninth game at first base moving pastWally Pippand a little closer toLou Gehrig'srecord!",Record,"Lou Gehrig, June, Wally Pippand, Don Mattinglyplayed","On June 13, 1994,Don Mattinglyplayed in his one-thousand four-hundred sixty-ninth game at first base..."
2001,"The New York Yankees weren't the only baseball team from the Bronx that played well in 2001, only to come up short in the end. The Little League team from the South Bronx stole the show at the Little League World Series in Williamsport, Pennsylvania, but was later disqualified after it was discovered that star pitcher Danny Almonte was actually a fifteen year-old ringer.",World Series,"Danny Almonte, Little League, Little League World, South Bronx","The New York Yankees weren't the only baseball team from the Bronx that played well in 2001, only to..."
2001,"Despite losing three of their greatest players (Ken Griffey Jr., Randy Johnson and Alex Rodriguez) the resilient Seattle Mariners set the record for most wins in a season for an American League club, bettering the mark of one-hundred fourteen set by the already legendary 1998 Yankees. Japanese sensation Ichiro Suzuki sweetens the deal by winning Rookie of the Year as well as the Most Valuable Player.",Debut,"Randy Johnson, Alex Rodriguez, American League, Seattle Mariners, Ken Griffey","Despite losing three of their greatest players (Ken Griffey Jr., Randy Johnson and Alex Rodriguez) t..."
2001,"A new era of baseball in Pittsburgh began with the opening of PNC Park resembling the classic stadiums of old. The park served as the fifth home for the Buccos replacing Three Rivers Stadium, which had replaced the sacred grounds at Forbes Field. Unfortunately, Pirate legend Willie Stargell died the evening before its Opening Day casting a dark shadow over the debut festivities.",Debut,"Forbes Field, Three Rivers Stadium, Opening Day, Willie Stargell",A new era of baseball in Pittsburgh began with the opening of PNC Park resembling the classic stadiu...
2001,"Barry Bonds of the Giants broke St. Louis Cardinals' slugger Mark McGwire's single-season home run record. Before an ecstatic throng at San Francisco's Pac Bell Park, the Hall-of-Fame-bound outfielder took Chan Ho Park deep for No. 71. He would later go on to reset the record at seventy-three.",Record,"Pac Bell Park, San Francisco, Mark, Barry Bonds, Louis Cardinals",Barry Bonds of the Giants broke St. Louis Cardinals' slugger Mark McGwire's single-season home run r...
2001,"In one of the most exciting editions of the World Series, the adolescent Arizona Diamondbacks beat the 3x defending champion New York Yankees after Luis Gonzalez lined a Series-winning single off closer Mariano Rivera in the ninth inning of Game 7.",World Series,"Luis Gonzalez, Yankees, Mariano Rivera, World, Arizona Diamondbacks","In one of the most exciting editions of the World Series, the adolescent Arizona Diamondbacks beat t..."
2001,"Major League Baseball rose to the occasion as part of the post 9/11 healing process. After taking center stage with patriotic tributes throughout the remainder of the regular season, the national pastime returned to the Big Apple to host the World Series. With the city's emotions running high and the American flag pulled from the wreckage of the World Trade Center flying overhead, President George W. Bush threw out the first pitch symbolizing the unwavering strength of America.",Debut,"Major League Baseball, World Trade Center, World, President George, Big Apple",Major League Baseball rose to the occasion as part of the post 9/11 healing process. After taking ce...
2001,The 1-2 pitching combination of Arizona Diamondbacks Curt Schilling and Randy Johnson results in the first World Series Co-Most Valuable Players.,Debut,"Arizona Diamondbacks Curt, Randy Johnson, World, Most Valuable Players",The 1-2 pitching combination of Arizona Diamondbacks Curt Schilling and Randy Johnson results in the...
2001,"""The amazing thing about baseball is that no matter how many games you win, unless you win a World Series, you're going to feel disappointment."" - Seattle Mariners Manager Lou Piniella",World Series,"Seattle Mariners Manager, Lou Piniella, World","""The amazing thing about baseball is that no matter how many games you win, unless you win a World S..."
2001,The2001 Seattle Marinersset several records this season includingmost winsby any American League team during a season and they tied the Major League record formost winsby any team during a single season!,Record,"Seattle Marinersset, American League, Major League",The2001 Seattle Marinersset several records this season includingmost winsby any American League tea...
2016,"New York Yankees rookie sensation Gary Sanchez became; the fastest player in Major League history to reach 11 home runs, doing so in his 23rd career game on August 27, 2016, against the Baltimore Orioles, the first rookie in Major League history to win consecutive Player of the Week awards, and when he hit his 19th home run on September 21, 2016, against the Tampa Bay Rays, he became the quickest player in Major League history to hit 19 home runs, doing so in his 45th game.",Debut,"Gary Sanchez, Baltimore Orioles, Major League, Yankees",New York Yankees rookie sensation Gary Sanchez became; the fastest player in Major League history to...
2016,"On August 19, 2016, the Baltimore Orioles set a new Major League record by hitting four home runs before recording their first out, in the course of a five run first inning against the Houston Astros.",Record,"Houston Astros, August, Baltimore Orioles, Major League","On August 19, 2016, the Baltimore Orioles set a new Major League record by hitting four home runs be..."
2016,"The Cleveland Indians defeated the Toronto Blue Jays in the 2016 ALCS despite hitting just .168, setting a Major League record for the lowest batting average for a winning team in a postseason series. When they defeated the Chicago Cubs 1–0 in Game 3 of the 2016 World Series, it was their fifth shutout of the postseason, also a Major League record!",World Series,"World, Cleveland Indians, Major League, Chicago Cubs, Toronto Blue Jays","The Cleveland Indians defeated the Toronto Blue Jays in the 2016 ALCS despite hitting just .168, set..."
2016,"Jake Arrieta (Chicago Cubs) threw his second career no-hitter, destroying the Cincinnati Reds 16–0 on April 21, 2016. Arrieta walked four and struck out six as he became the fourth reigning Cy Young winner (joining Sandy Koufax, Bob Gibson, and Clayton Kershaw), to throw a no-hitter the following season.",No-Hitter,"Young, Chicago Cubs, Jake Arrieta, Cincinnati Reds, Sandy Koufax","Jake Arrieta (Chicago Cubs) threw his second career no-hitter, destroying the Cincinnati Reds 16–0 o..."
2016,"""It might as well be a matchup from a movie: the two teams with the longest title droughts in baseball paired in the same World Series. No wonder, then, that Joe Maddon has watchedField of Dreamssince his Chicago Cubs clinched the National League pennant. 'I cry easily,' said Maddon, the Cubs’ manager. 'So the connection to the past is very important.' To loosely quote the script, the memories could be so thick at this World Series, the fans will have to swat them away from their faces. The Cubs have gone 108 years without a championship. The Cleveland Indians have gone 68. No other team in baseball has come close to so many consecutive unfulfilled seasons. 'The baseball gods are really happy right now,' the Indians' Mike Napoli said. 'I wanted the Cubs to win, just because I knew how cool it would be to be a part of it. I think it's going to be a special World Series. There's two droughts, and there’s going to be a winner.'"" - New York Times Staff Writer Tyler Kepner (10/24/2016,World Series Preview: For Cubs or Indians, Decades of Waiting Are Nearly Over,Source)",World Series,"World, National League, Chicago Cubs, Joe Maddon","""It might as well be a matchup from a movie: the two teams with the longest title droughts in baseba..."
2020,"On August 16, 2020, the Chicago White Sox hit four consecutive home runs, tying the Major League record. The history making quartet was Yoan Moncada, Yasmani Grandal, José Abreu and Eloy Jiménez. All four home runs were hit off Roel Ramírez, during his big league debut.",Debut,"Chicago White Sox, August, Major League, Yasmani Grandal, Yoan Moncada","On August 16, 2020, the Chicago White Sox hit four consecutive home runs, tying the Major League rec..."
2020,The 2020 Los Angeles Dodgers set the National League record for most home runs in a month by a team after hitting their 57th long ball during August against the Texas Rangers on August 30.,Record,"Los Angeles Dodgers, National League, Texas Rangers",The 2020 Los Angeles Dodgers set the National League record for most home runs in a month by a team ...
2020,"The first team in Major League history to hit at least one grand slam in four consecutive games was the San Diego Padres, who made baseball history on August 17, 18, 19, and 20! All of the record setting grand slams were hit against the Texas Rangers!",Record,"Texas Rangers, San Diego Padres, Major League",The first team in Major League history to hit at least one grand slam in four consecutive games was ...
2020,"On July 23, 2020, MLB and MLBPA announced that the postseason will be an expanded 16-team playoff tournament for 2020 only, instead of the normal 10-team tournament. All first and second place teams in the six divisions will qualify for the playoffs. The final two spots in each league will go to the remaining teams with the best win-loss records. The teams in each league will be seeded by division winners (1–3), division runners-up (4–6), and best teams remaining (7–8). Seeding ties will be resolved by head-to-head record, intra-league record, and record in final 20 intra-league games, to remove the necessity for additional games. The first round of the playoffs will be a best-of-three series called the Wild Card Series, with all games to be played at the home of the higher seeded team. After that, the postseason will follow the usual pattern of five-game Division series, seven-game League Championship Series, and a seven-game World Series.",Debut,"July, World, Wild Card, League","On July 23, 2020, MLB and MLBPA announced that the postseason will be an expanded 16-team playoff to..."
2020,"Did you know that whenMookie Bettshad histhree-homer gameagainst the San Diego Padres on August 13, 2020,Bettstied the Major League record for most careerthree-homer gamesat six (five with the Red Sox / one with the Dodgers)?MookiejoinedSammy SosaandJohnny Mizeas the only other players to accomplish this feat!",Record,"San Diego Padres, Major League, Sammy Sosaand, Red Sox, Mookie Bettshad","Did you know that whenMookie Bettshad histhree-homer gameagainst the San Diego Padres on August 13, ..."
2020,"On August 25, 2020,Lucas Giolitostruck out thirteen hitters and walked one, throwing 74 of his 101 pitches for strikes, and completing the onlyAmerican League no-hitterof the season.",No-Hitter,"August, Lucas Giolitostruck, American League","On August 25, 2020,Lucas Giolitostruck out thirteen hitters and walked one, throwing 74 of his 101 p..."
2020,"When Alex Kirilloff made his Major League debut on September 30, 2020, it was during theWild Card Series. This marks the first time a pitcher has made his debut bystartinga postseason game.",Debut,"Alex Kirilloff, Major League, Wild Card","When Alex Kirilloff made his Major League debut on September 30, 2020, it was during theWild Card Se..."
2023,"The World Baseball Classic was postponed due to the COVID-19 pandemic in 2021, but the latest Collective Bargaining Agreement indicated the officially sanctioned international baseball tournament would return in 2023, and did it ever. Twenty teams competed, major league baseball stars were encouraged to participate, record numbers of fans witnessed games, and in the end, Japan defeated the United States 3–2.",Record,"United States, Collective Bargaining Agreement, World Baseball","The World Baseball Classic was postponed due to the COVID-19 pandemic in 2021, but the latest Collec..."
2023,"Several American League teams announced plans to celebrate previous World Series titles, including the Baltimore Orioles, 40th Anniversary of 1983 World Series Championship, the Boston Red Sox, 10th Anniversary of 2013 World Series Championship, the New York Yankees, both the 25th Anniversary of 1998 World Series Championship and the 45th Anniversary of 1978 World Series Championship, as well as the Toronto Blue Jays, 30th Anniversary of 1993 World Series Championship.",World Series,"Boston Red Sox, World, Baltimore Orioles, Several American League, World","Several American League teams announced plans to celebrate previous World Series titles, including t..."
2023,"""Way-too-early Power Rankings, New Year's edition: 1. Astros. Repeating as World Series champions isn't easy, but the Astros probably deserve the benefit of the doubt. They've played in six straight AL Championship Series. They've won the World Series twice in that span. They have a starting staff that is six deep, which enabled them to let Justin Verlander, the AL Cy Young Award winner, leave for the Mets -- simply because they don't really need him. The 'World Series hangover' likely won't apply this year, considering Houston played two games over the minimum in the postseason and had multiple days of rest between each round. Though the AL West has improved in some areas -- the Mariners will be strong again, and the Rangers took measures to improve -- the Astros, again, will be the favorites to nab another division title."" - Footer, Alyson. MLB Staff Writer.Here are the first Power Rankings of 2023. 1 January 2023.",Debut,"World, Year","""Way-too-early Power Rankings, New Year's edition: 1. Astros. Repeating as World Series champions is..."
2023,"Did you know that the number of teams eligible for the postseason increased from 10 to 12 in 2022 — giving us more participating postseason teams in 2023? Under the new format: The number 1 and number 2 seeds (division winners with the two best records) in each League will receive a bye during the Wild Card Round. The Wild Card Round will feature the number 3 seed (division winner with the third-best record) against the number 6 seed (third Wild Card Club) and the number 4 seed (first Wild Card Club) against the number 5 seed (second Wild Card Club) in each League. The Wild Card Round will be a best-of-three series with all games played at the site of the number 3 and 4 seeds, respectively. The Division Series will remain a 2-2-1 format with the number 1 seed facing the winner of the 4/5 Wild Card matchup, while the number 2 seed faces the winner of the 3/6 Wild Card matchup.",Record,"Wild Card Club, Wild Card, Wild Card Round",Did you know that the number of teams eligible for the postseason increased from 10 to 12 in 2022 — ...
