record_id,field,issue_type,description,severity,suggested_fix
2000-Fewest Walks Allowed,stat_category,misclassification,"Value 496.0 unusual for Home Runs, changed to Total Bases",medium,Changed from Home Runs to Total Bases
2023-Seattle Mariners,stat_category,misclassification,"Value 94.0 unusual for Home Runs, changed to RBI",medium,Changed from Home Runs to RBI
2023-Marcus Semien,stat_category,misclassification,"Value 185.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
2023-Shohei Ohtani,team,missing_value,Team name is missing or too short,high,
2023-On Base Percentage,stat_value,suspicious_value,Value 0.412 is unusually high for Batting Average,medium,
2023-Kyle Tucker,stat_category,misclassification,"Value 112.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
2023-Marcus Semien,stat_category,misclassification,"Value 122.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
2023-Shohei Ohtani,team,missing_value,Team name is missing or too short,high,
2023-Shohei Ohtani,stat_value,out_of_range,Value 0.654 outside expected range for Batting Average,high,
2023-Stolen Bases,stat_value,suspicious_value,Value 67.0 is unusually high for Home Runs,medium,
2023-Total Bases,stat_category,misclassification,"Value 325.0 unusual for Home Runs, changed to Total Bases",medium,Changed from Home Runs to Total Bases
1927-Complete Games,stat_category,misclassification,Corrected ERA to Complete Games,medium,
1927-Garland Braxton,stat_value,out_of_range,Value 58.0 outside expected range for ERA,high,
1927-Garland Braxton,stat_value,out_of_range,Value 13.0 outside expected range for ERA,high,
1927-Lefty Grove,stat_category,misclassification,Corrected ERA to Strikeouts,medium,
1927-Winning Percentage,stat_value,out_of_range,Value 0.759 outside expected range for Batting Average,high,
1927-Waite Hoyt,stat_category,misclassification,Corrected ERA to Complete Games,medium,
2000-Complete Games,stat_value,out_of_range,Value 9.0 outside expected range for ERA,high,
2000-Kelly Wunsch,stat_value,out_of_range,Value 83.0 outside expected range for ERA,high,
2000-Todd Jones,stat_value,out_of_range,Value 42.0 outside expected range for ERA,high,
2000-Pedro Martinez,stat_category,misclassification,Corrected ERA to Strikeouts,medium,
2000-Winning Percentage,stat_value,out_of_range,Value 0.769 outside expected range for Batting Average,high,
2000-Tim Hudson,stat_category,misclassification,Corrected ERA to Complete Games,medium,
2023-Matt Brash,stat_value,out_of_range,Value 78.0 outside expected range for ERA,high,
2023-Emmanuel Clase,stat_value,out_of_range,Value 44.0 outside expected range for ERA,high,
2023-Kevin Gausman,stat_category,misclassification,Corrected ERA to Strikeouts,medium,
2023-Winning Percentage,stat_value,out_of_range,Value 0.789 outside expected range for Batting Average,high,
2023-Chris Bassitt,stat_category,misclassification,Corrected ERA to Complete Games,medium,
2023-Zach Eflin,stat_category,misclassification,Corrected ERA to Complete Games,medium,
